,City,Country,Longitude,Latitude,Max Temperature,Humidity,Cloud Cover,Wind Speed
36,sulangan,ph,123.72,11.14,77.58,100,92,20.74
37,cape town,za,18.42,-33.93,64.4,88,0,9.17
38,coihaique,cl,-72.07,-45.58,57.2,67,0,6.93
39,magadan,ru,150.8,59.56,1.75,100,0,17.05
40,gobabis,na,18.97,-22.45,67.63,97,76,11.9
41,east london,za,27.91,-33.02,68.0,77,0,5.82
42,chulym,ru,80.97,55.09,-3.88,65,48,3.96
43,kapaa,us,-159.32,22.08,77.0,66,20,24.16
44,fortuna,us,-124.16,40.6,48.2,100,1,9.17
45,hithadhoo,mv,73.08,-0.6,81.45,100,68,11.9
46,bethel,us,-161.76,60.79,14.0,87,90,10.29
47,tuktoyaktuk,ca,-133.03,69.44,3.2,84,90,6.93
48,tabou,ci,-7.36,4.42,82.89,99,64,9.89
49,shenjiamen,cn,122.3,29.96,56.02,98,100,7.31
50,lavrentiya,ru,-170.99,65.58,12.96,95,80,12.91
51,narsaq,gl,-46.05,60.91,24.25,83,76,10.78
52,ratnagiri,in,73.3,16.98,83.61,83,0,3.4
53,almaty,kz,76.95,43.24,28.4,79,40,4.47
54,tasiilaq,gl,-37.64,65.61,33.8,86,92,24.16
55,kirakira,sb,161.92,-10.46,78.39,100,92,5.75
56,yellowknife,ca,-114.38,62.45,1.4,70,75,9.17
57,jamestown,sh,-5.72,-15.94,70.87,100,92,16.04
58,deputatskiy,ru,139.9,69.3,-25.57,0,24,2.73
59,kaitangata,nz,169.85,-46.28,58.72,74,68,13.8
60,qaqortoq,gl,-46.03,60.72,31.59,84,92,15.03
61,busselton,au,115.35,-33.64,67.5,98,32,13.69
62,qaanaaq,gl,-69.36,77.48,-5.0,79,8,8.66
63,luderitz,na,15.16,-26.65,60.03,86,8,11.34
64,broome,au,122.23,-17.97,93.2,52,40,6.93
65,puerto colombia,co,-74.96,10.99,78.8,78,0,6.93
66,bambous virieux,mu,57.76,-20.34,82.4,78,40,10.29
67,chuy,uy,-53.46,-33.69,56.97,95,0,4.74
68,bredasdorp,za,20.04,-34.53,59.0,93,8,6.93
69,xiamen,cn,118.07,24.46,66.2,77,90,2.24
70,palembang,id,104.76,-2.99,89.6,59,75,3.36
71,rudnogorsk,ru,103.75,57.27,-11.8,75,24,4.63
72,castro,cl,-73.76,-42.48,51.8,87,20,10.29
73,havre,us,-109.68,48.55,46.04,51,1,20.8
74,rocha,uy,-54.34,-34.48,49.68,88,0,2.28
75,hermanus,za,19.24,-34.42,65.38,69,0,2.95
76,ivanivka,ua,30.46,46.98,26.6,86,0,15.66
77,mahibadhoo,mv,72.97,3.78,83.25,99,32,18.84
78,vestmannaeyjar,is,-20.27,63.44,47.43,95,92,21.41
79,kieta,pg,155.63,-6.22,86.62,78,92,8.88
80,pedernales,do,-71.74,18.04,74.52,100,0,12.68
81,vaini,to,-175.2,-21.2,75.2,88,90,5.82
82,butaritari,ki,172.79,3.07,83.7,100,24,13.13
83,arraial do cabo,br,-42.02,-22.97,76.63,89,0,13.47
84,manavalakurichi,in,77.3,8.13,84.2,62,20,5.75
85,zhangjiakou,cn,114.88,40.77,16.2,23,0,8.21
86,vardo,no,31.11,70.37,23.0,92,75,8.05
87,saint-louis,sn,-16.5,16.03,71.55,93,88,13.02
88,dutlwe,bw,23.93,-23.98,67.95,78,56,13.8
89,mount isa,au,139.49,-20.73,104.0,15,40,12.75
90,carnarvon,au,113.63,-24.87,80.6,42,68,24.16
91,lebu,cl,-73.65,-37.62,56.65,90,0,25.55
92,sovetskaya,ru,41.17,44.78,28.62,83,68,8.1
93,atambua,id,124.89,-9.11,83.2,93,92,8.77
94,cherskiy,ru,161.3,68.75,-18.28,79,64,5.3
95,talcahuano,cl,-73.12,-36.72,55.4,87,0,9.17
96,saldanha,za,17.94,-33.01,59.0,82,0,2.24
97,dunedin,nz,170.5,-45.87,63.18,60,44,12.01
98,usinsk,ru,57.56,66.0,8.95,79,76,8.43
99,kabinda,cd,24.49,-6.14,69.39,97,80,5.19
100,hobyo,so,48.53,5.35,77.49,92,68,19.51
101,hambantota,lk,81.12,6.12,82.4,74,0,12.75
102,bluff,nz,168.33,-46.6,57.51,100,88,16.71
103,port alfred,za,26.89,-33.59,72.13,81,0,10.56
104,sanchez,do,-69.61,19.23,74.65,97,8,7.65
105,kandrian,pg,149.55,-6.21,82.62,79,76,6.87
106,san felipe,mx,-114.84,31.02,59.94,100,0,20.74
107,strezhevoy,ru,77.6,60.73,15.8,92,90,13.42
108,faanui,pf,-151.75,-16.48,83.47,100,36,4.29
109,ormara,pk,64.64,25.21,70.83,91,56,4.63
110,mtwara,tz,40.18,-10.28,77.0,100,75,8.43
111,banda aceh,id,95.32,5.56,86.94,59,48,5.86
112,severo-kurilsk,ru,156.12,50.68,25.38,100,80,11.01
113,afrikanda,ru,32.78,67.44,10.62,78,76,3.51
114,narbonne,fr,3.0,43.18,44.6,95,0,4.7
115,bridlington,gb,-0.19,54.08,35.6,100,0,4.7
116,chapais,ca,-74.86,49.78,15.8,92,90,13.87
117,saurimo,ao,20.4,-9.66,68.31,94,80,3.29
118,sola,vu,167.55,-13.88,84.82,85,0,9.66
119,balaipungut,id,101.31,1.11,96.66,43,32,4.07
120,kendari,id,122.52,-3.99,83.16,85,92,3.74
121,jilib,so,42.79,0.49,84.82,56,20,11.79
122,muzhi,ru,64.7,65.4,4.5,70,0,9.44
123,srednekolymsk,ru,153.71,67.46,-5.0,68,64,2.73
124,siddipet,in,78.85,18.1,79.11,57,0,7.43
125,norman wells,ca,-126.83,65.28,14.0,85,75,6.93
126,touros,br,-35.46,-5.2,78.8,83,20,2.24
127,sirhind,in,76.39,30.62,59.08,80,76,4.85
128,barrow,us,-90.4,39.51,32.0,79,1,5.82
129,aswan,eg,32.9,24.09,45.36,93,0,3.74
130,khatanga,ru,102.47,71.98,-7.12,76,48,4.97
131,portland,au,149.98,-33.35,81.9,63,56,2.51
132,port hedland,au,118.58,-20.31,91.4,55,44,18.34
133,denpasar,id,115.22,-8.65,86.0,66,40,4.7
134,kyakhta,ru,106.45,50.35,3.06,53,0,4.18
135,viedma,ar,-62.99,-40.81,55.62,47,0,10.56
136,katsuura,jp,134.5,33.93,50.0,71,20,4.7
137,adrar,dz,-0.29,27.87,38.79,90,0,9.89
138,olonets,ru,32.97,60.98,12.1,75,88,2.51
139,aksum,et,38.72,14.12,58.0,65,0,3.62
140,esperance,au,121.89,-33.86,69.8,43,75,17.22
141,port hardy,ca,-127.42,50.7,44.6,93,90,5.82
142,puerto ayora,ec,-90.35,-0.74,75.24,100,8,7.65
143,darhan,mn,105.92,49.49,2.61,44,0,4.18
144,piacabucu,br,-36.43,-10.41,74.88,98,76,6.42
145,camacha,pt,-16.33,33.08,60.8,67,40,8.05
146,padang,id,100.36,-0.92,86.0,74,75,2.24
147,salalah,om,54.1,17.01,68.0,56,0,2.24
148,linxia,cn,103.21,35.6,24.12,38,20,3.96
149,biak,id,122.88,-0.91,87.3,73,76,4.52
150,alofi,nu,-169.92,-19.06,73.4,100,92,4.7
151,smithers,ca,-127.17,54.78,24.8,92,90,2.24
152,haverfordwest,gb,-4.97,51.8,42.07,100,12,6.98
153,abancay,pe,-72.88,-13.64,42.66,100,92,1.72
154,solnechnyy,ru,136.64,50.72,-6.13,72,64,3.18
155,ilulissat,gl,-51.1,69.22,15.8,72,36,4.7
156,gigmoto,ph,124.39,13.78,80.95,95,44,21.3
157,igdir,tr,44.05,39.92,20.16,79,56,2.17
158,flin flon,ca,-101.88,54.77,16.83,82,0,7.2
159,sawtell,au,153.1,-30.38,87.8,61,0,25.28
160,waitati,nz,170.57,-45.75,63.18,60,44,12.01
161,skaelskor,dk,11.29,55.25,39.2,93,92,11.41
162,clyde river,ca,-68.59,70.47,1.4,84,90,6.93
163,novikovo,ru,37.89,51.15,23.13,87,80,3.4
164,tvoroyri,fo,-6.81,61.56,48.2,93,88,10.29
165,lagoa,pt,-8.45,37.14,50.0,93,0,6.93
166,geraldton,au,114.6,-28.77,77.0,41,0,26.4
167,ust-ilimsk,ru,102.73,57.96,-3.61,63,44,5.64
168,georgetown,sh,-14.42,-7.93,76.41,100,20,10.78
169,gopalpur,in,86.94,25.6,67.32,71,0,4.41
170,pacific grove,us,-121.92,36.62,46.94,70,1,2.39
171,zhezkazgan,kz,67.71,47.8,-5.81,76,0,8.95
172,talnakh,ru,88.39,69.49,2.97,74,64,16.15
173,iida,jp,137.9,35.45,40.9,28,0,1.95
174,pascagoula,us,-88.56,30.37,71.96,98,75,11.41
175,mahebourg,mu,57.7,-20.41,82.4,78,40,10.29
176,bajos de haina,do,-70.03,18.41,75.2,88,40,6.93
177,hereford,us,-102.4,34.82,26.06,81,1,4.85
178,nieuw amsterdam,sr,-55.08,5.88,77.0,94,40,6.93
179,cidreira,br,-50.22,-30.17,69.52,100,92,7.43
180,oktyabrskoye,ru,85.44,56.73,-14.81,75,75,2.24
181,buala,sb,159.59,-8.15,79.2,100,88,8.77
182,troitskoye,ru,84.68,52.98,-5.95,71,20,3.29
183,fomboni,km,43.74,-12.28,82.8,100,36,10.33
184,chokurdakh,ru,147.9,70.62,-11.12,55,48,6.64
185,ahipara,nz,173.16,-35.17,69.21,76,0,16.93
186,nyurba,ru,118.35,63.29,-5.0,54,56,7.76
187,athabasca,ca,-113.29,54.72,24.48,90,92,2.95
188,cabo san lucas,mx,-109.91,22.89,59.0,77,40,2.24
189,provideniya,ru,-173.23,64.42,13.14,100,80,17.27
190,lac du bonnet,ca,-96.06,50.25,20.34,75,36,5.08
191,auki,sb,160.7,-8.77,76.5,100,92,8.1
192,liusha,cn,108.59,27.21,35.23,100,92,3.51
193,zeya,ru,127.27,53.74,-2.62,58,44,2.73
194,shaunavon,ca,-108.41,49.65,42.52,60,8,22.97
195,iqaluit,ca,-68.52,63.75,-22.01,74,5,2.24
196,mount gambier,au,140.78,-37.83,66.2,68,90,17.22
197,marrakesh,ma,-7.99,31.63,39.2,65,0,4.7
198,ponta do sol,cv,-25.09,17.2,71.6,64,0,12.75
199,vega de alatorre,mx,-96.65,20.03,63.85,100,64,8.66
200,terrace,ca,-128.61,54.52,30.2,86,90,20.8
201,arman,ru,150.17,59.7,-14.59,63,0,5.97
202,narasannapeta,in,84.04,18.42,82.03,53,0,4.07
203,kalemie,cd,29.2,-5.95,75.37,100,32,3.96
204,salair,ru,85.8,54.23,-4.06,64,8,3.74
205,saskylakh,ru,114.09,71.97,-3.07,74,44,12.35
206,yanaul,ru,54.93,56.27,14.22,85,76,9.22
207,pimentel,pe,-79.94,-6.84,73.4,78,75,11.41
208,sungaipenuh,id,101.38,-2.08,77.98,73,64,1.61
209,isla vista,us,-119.86,34.41,50.0,65,1,3.36
210,sweetwater,us,-100.41,32.47,32.0,100,1,10.45
211,sao filipe,cv,-24.5,14.9,73.17,98,36,13.24
212,bandarbeyla,so,50.81,9.49,75.82,100,92,16.71
213,bajil,ye,43.29,15.06,75.69,74,0,3.96
214,oyama,jp,139.8,36.31,48.2,29,20,11.41
215,atar,mr,-13.05,20.52,49.0,46,80,7.43
216,montana,bg,23.22,43.41,18.36,67,64,4.29
217,guerrero negro,mx,-114.04,27.97,44.73,90,0,6.2
218,udachnyy,ru,112.4,66.42,-8.15,61,0,5.41
219,hilo,us,-155.08,19.71,73.94,64,90,6.93
220,riyadh,sa,46.72,24.63,53.6,71,0,8.05
221,puerto escondido,mx,-97.07,15.86,77.0,69,40,6.93
222,souillac,mu,57.52,-20.52,82.4,78,40,10.29
223,san juan,us,-98.16,26.19,46.4,85,1,2.95
224,medea,dz,2.77,36.27,33.75,89,80,3.18
225,thamaga,bw,25.54,-24.68,68.0,82,75,11.41
226,tuy hoa,vn,109.3,13.08,75.06,100,92,10.0
227,kerema,pg,145.78,-7.96,74.02,100,92,2.73
228,pailon,bo,-62.72,-17.66,75.2,94,75,2.24
229,colac,au,143.59,-38.34,86.8,39,12,8.99
230,makurdi,ng,8.54,7.73,64.75,80,32,3.74
231,port-gentil,ga,8.78,-0.72,79.87,100,100,4.29
232,gainesville,us,-82.33,29.65,66.92,100,90,4.7
233,diamantino,br,-56.44,-14.4,71.64,93,36,9.1
234,killybegs,ie,-8.45,54.63,38.34,100,0,11.12
235,mahajanga,mg,46.32,-15.72,77.0,88,40,6.98
236,pierre,us,-100.35,44.37,35.06,78,1,9.17
237,victoria point,au,153.3,-27.58,86.0,54,40,14.99
238,aberdeen,us,-123.82,46.98,51.98,89,90,28.86
239,eureka,us,-124.16,40.8,48.2,100,1,9.17
240,haysville,us,-97.35,37.56,35.6,59,90,4.7
241,loukhi,ru,33.04,66.08,13.95,85,92,8.43
242,la union,hn,-86.71,15.02,58.05,90,20,1.61
243,olinda,br,-43.41,-22.82,84.2,66,40,4.7
244,thompson,ca,-97.86,55.74,17.6,92,5,11.41
245,sorong,id,131.25,-0.86,84.28,100,0,5.75
246,college,us,-147.8,64.86,-9.05,76,20,3.36
247,ottawa,us,-95.27,38.62,32.0,58,1,5.82
248,comodoro rivadavia,ar,-67.48,-45.87,57.2,82,0,4.7
249,henties bay,na,14.28,-22.12,63.63,95,8,6.98
250,ouallam,ne,2.08,14.32,56.16,45,8,12.24
251,manjacaze,mz,33.88,-24.71,77.04,99,76,5.75
252,port elizabeth,za,25.57,-33.92,62.6,100,75,3.36
253,karla,ee,24.93,59.37,24.8,92,90,12.75
254,poum,nc,164.02,-20.23,81.58,94,44,13.13
255,tiksi,ru,128.87,71.64,-5.5,55,36,19.95
256,raudeberg,no,5.14,61.99,46.4,93,75,16.11
257,egvekinot,ru,-179.17,66.32,-29.57,45,0,3.85
258,baykit,ru,96.39,61.68,-7.25,73,88,6.2
259,kyra,ru,111.97,49.58,4.05,47,0,9.44
260,mehamn,no,27.85,71.03,37.4,93,90,9.17
261,issia,ci,-6.58,6.49,68.98,81,12,3.4
262,garango,bf,-0.55,11.8,62.37,36,0,11.01
263,tautira,pf,-149.15,-17.73,84.2,70,20,6.93
264,berlevag,no,29.09,70.86,35.6,93,90,9.17
265,mizque,bo,-65.34,-17.94,50.49,100,44,2.39
266,vereeniging,za,27.93,-26.67,62.6,82,44,3.36
267,saint-augustin,ca,-73.98,45.63,24.8,92,90,8.05
268,havoysund,no,24.66,71.0,37.4,86,75,14.99
269,ust-nera,ru,143.24,64.57,-43.12,0,20,1.83
270,poroshkovo,ua,22.75,48.67,26.6,68,44,6.71
271,sorgun,tr,35.19,39.81,40.59,95,92,21.74
272,lorengau,pg,147.27,-2.02,82.44,100,44,14.47
273,yakovlevka,ru,133.47,44.43,22.72,61,0,6.2
274,ribeira grande,pt,-28.7,38.52,61.83,100,100,17.49
275,constitucion,mx,-104.67,23.99,43.2,73,44,2.95
276,beringovskiy,ru,179.32,63.05,-18.82,100,0,17.38
277,itarema,br,-39.92,-2.92,77.85,89,76,10.67
278,san patricio,mx,-104.7,19.22,64.75,100,12,2.73
279,sarangani,ph,125.46,5.4,83.2,95,76,18.05
280,fraga,es,0.35,41.52,32.0,90,90,3.36
281,santa rosa,bo,-64.83,-20.7,55.8,95,88,1.72
282,vanavara,ru,102.28,60.35,-10.85,72,44,5.64
283,pangnirtung,ca,-65.72,66.15,-24.04,35,12,1.05
284,ugoofaaru,mv,73.0,5.67,83.02,100,20,19.17
285,pitimbu,br,-34.81,-7.47,75.2,88,20,4.7
286,cockburn town,tc,-71.14,21.46,77.94,100,68,19.73
287,sioux lookout,ca,-91.92,50.1,30.2,92,90,5.82
288,acajutla,sv,-89.83,13.59,69.75,91,0,4.07
289,leningradskiy,ru,178.42,69.38,-9.95,87,44,16.82
290,phek,in,94.46,25.7,59.58,70,36,2.39
291,fuyang,cn,119.96,30.05,46.4,100,75,4.47
292,san rafael,ar,-68.33,-34.61,56.83,46,0,5.08
293,chicama,pe,-79.15,-7.84,71.6,88,90,5.82
294,jaffna,lk,80.01,9.67,79.47,96,20,17.16
295,klaksvik,fo,-6.59,62.23,48.2,93,76,10.29
296,khanpur,pk,70.66,28.65,59.58,93,80,6.42
297,havre-saint-pierre,ca,-63.6,50.23,-0.41,84,40,2.24
298,tuatapere,nz,167.69,-46.13,61.33,81,64,13.91
299,honningsvag,no,25.97,70.98,37.4,86,75,14.99
300,tynda,ru,124.74,55.15,2.02,55,0,7.43
301,vila velha,br,-38.6,-3.71,80.6,83,75,16.11
302,biscarrosse,fr,-1.18,44.41,30.2,92,0,4.7
303,xaghra,mt,14.26,36.05,46.4,100,75,8.05
304,abnub,eg,31.15,27.27,42.8,87,0,5.82
305,reconquista,ar,-59.64,-29.14,69.25,89,92,11.45
306,bhag,pk,67.82,29.04,61.74,79,92,2.39
307,graaff-reinet,za,24.53,-32.25,68.22,63,0,1.61
308,tavda,ru,65.27,58.04,11.83,76,36,9.33
309,mnogovershinnyy,ru,139.92,53.94,6.75,62,0,5.97
310,kavieng,pg,150.8,-2.57,81.27,100,48,15.82
311,ancud,cl,-73.83,-41.87,51.8,87,20,10.29
312,yangambi,cd,24.47,0.77,72.27,99,36,3.06
313,thohoyandou,za,30.46,-22.97,66.1,100,92,4.97
314,vung tau,vn,107.08,10.35,79.15,99,92,23.09
315,ust-ishim,ru,71.17,57.69,15.84,85,88,7.2
316,coquimbo,cl,-71.34,-29.95,57.2,87,0,5.82
317,monywa,mm,95.13,22.12,77.08,75,0,5.64
318,erzin,ru,95.16,50.26,-12.65,67,0,1.28
319,kahului,us,-156.47,20.89,75.02,66,40,18.34
320,tsabong,bw,22.4,-26.02,74.02,83,0,13.35
321,juneau,us,-134.42,58.3,32.0,88,20,2.17
322,herat,af,62.22,34.35,50.0,81,75,10.29
323,ilo,pe,-71.34,-17.65,59.62,99,44,1.05
324,svetlogorsk,ru,59.15,53.14,1.4,84,90,7.65
325,tinaquillo,ve,-68.31,9.92,68.53,94,80,2.84
326,zhaotong,cn,103.71,27.34,33.97,80,44,2.62
327,nuevo progreso,mx,-95.05,17.14,71.91,88,24,3.62
328,taoudenni,ml,-3.98,22.68,40.9,74,0,9.22
329,kovur,in,79.99,14.5,80.55,76,0,4.18
330,dubbo,au,148.6,-32.25,100.4,19,8,5.82
331,dicabisagan,ph,122.42,17.08,77.13,99,100,10.45
332,tokur,ru,132.9,53.13,-4.55,61,36,2.39
333,isangel,vu,169.27,-19.55,78.39,100,0,21.63
334,zaysan,kz,84.87,47.47,19.48,88,68,1.16
335,nanortalik,gl,-45.24,60.14,33.21,91,92,15.93
336,sisimiut,gl,-53.67,66.94,2.16,100,68,1.72
337,san andres,co,-76.58,8.22,78.97,96,0,4.74
338,tura,ru,100.22,64.27,-3.52,62,68,3.96
339,mareeba,au,145.42,-16.99,89.6,55,76,13.87
340,jahazpur,in,75.28,25.62,68.13,70,0,4.63
341,cayenne,gf,-52.33,4.94,77.0,88,92,16.11
342,kose,ee,25.17,59.18,24.8,92,90,12.75
343,marawi,sd,31.82,18.48,57.51,48,0,9.78
344,vienne,fr,4.87,45.53,32.0,73,0,10.29
345,kulunda,ru,78.94,52.57,-4.06,79,68,5.64
346,sabya,sa,42.62,17.15,82.4,78,40,3.36
347,tibati,cm,12.63,6.47,65.02,42,24,4.97
348,grindavik,is,-22.43,63.84,48.2,100,90,26.4
349,great yarmouth,gb,1.73,52.61,32.0,100,0,6.93
350,karatsu,jp,129.97,33.45,51.8,34,75,2.24
351,paamiut,gl,-49.67,61.99,27.54,100,92,24.87
352,christchurch,nz,172.64,-43.53,64.4,72,0,19.46
353,makasar,id,106.88,-6.28,91.4,46,20,13.87
354,labuan,my,115.2,5.33,87.8,70,75,5.82
355,virginia beach,us,-75.98,36.85,48.02,96,75,6.08
356,russell,nz,174.12,-35.26,73.62,47,0,17.27
357,broken hill,au,141.45,-31.97,109.4,10,12,8.05
358,aklavik,ca,-135.01,68.22,6.8,84,90,8.05
359,wattegama,lk,80.68,7.35,81.67,61,0,5.64
360,green river,us,-109.47,41.53,21.92,74,1,8.05
361,nome,us,-94.42,30.04,44.42,85,1,10.29
362,ostrovnoy,ru,39.51,68.05,8.77,78,36,14.7
363,tiznit,ma,-9.73,29.7,46.03,86,0,5.53
364,shunyi,cn,116.65,40.13,33.8,11,0,20.13
365,peniche,pt,-9.38,39.36,42.8,100,90,6.93
366,high level,ca,-117.13,58.52,15.48,81,0,4.18
367,namatanai,pg,152.44,-3.66,82.03,100,64,13.13
368,mabaruma,gy,-59.78,8.2,77.17,89,100,6.76
369,yabrud,sy,36.66,33.97,39.2,80,40,4.7
370,coolum beach,au,153.09,-26.53,79.11,75,8,7.31
371,florianopolis,br,-48.55,-27.6,77.0,94,40,3.36
372,jiwani,pk,61.74,25.05,72.72,87,64,3.29
373,acapulco,mx,-99.88,16.86,77.0,88,20,3.36
374,rawson,ar,-65.11,-43.3,63.85,44,20,13.24
375,lichinga,mz,35.25,-13.3,71.91,98,48,4.97
376,kasempa,zm,25.83,-13.46,67.68,100,48,4.07
377,ahar,ir,47.07,38.48,19.8,90,0,3.18
378,fairbanks,us,-147.72,64.84,-16.61,76,20,3.36
379,redmond,us,-122.12,47.67,55.94,52,90,17.22
380,strelka,ru,93.03,58.08,0.63,84,36,3.4
381,shimoda,jp,138.93,34.7,50.0,49,40,6.93
382,brenham,us,-96.4,30.17,41.0,97,1,7.99
383,brusque,br,-48.91,-27.1,72.4,99,88,2.84
384,ratchaburi,th,99.82,13.54,80.95,58,80,9.55
385,nuevo casas grandes,mx,-107.91,30.42,20.02,66,0,2.73
386,la reforma,mx,-108.06,25.08,59.0,67,40,3.51
387,jardim,br,-56.15,-21.48,77.8,74,8,5.97
388,tarakan,id,117.63,3.3,87.8,66,40,8.05
389,ivanishchi,ru,40.43,55.77,25.47,93,92,8.21
390,tilichiki,ru,166.1,60.47,-22.28,32,36,3.18
391,imeni poliny osipenko,ru,136.49,52.42,-5.41,70,48,2.84
392,port blair,in,92.75,11.67,84.2,70,20,10.29
393,omboue,ga,9.26,-1.57,80.68,100,76,0.94
394,trujillo,ve,-70.44,9.37,56.16,89,36,1.72
395,kerman,ir,57.06,30.29,50.0,32,40,9.17
396,khovu-aksy,ru,93.72,51.13,-17.92,66,0,1.61
397,magsingal,ph,120.43,17.69,84.2,74,75,8.05
398,kudahuvadhoo,mv,72.89,2.67,82.71,100,48,15.14
399,tahta,eg,31.5,26.77,42.8,80,0,5.82
400,yaring,th,101.37,6.87,80.6,74,90,11.41
401,barkhan,pk,69.52,29.9,47.83,90,92,3.85
402,vostok,ru,135.83,46.45,11.16,67,32,2.51
403,walvis bay,na,14.51,-22.95,63.67,100,0,4.85
404,luau,ao,22.22,-10.71,70.11,91,36,2.84
405,road town,vg,-64.62,18.42,75.02,84,1,5.82
406,tigil,ru,158.67,57.8,-18.95,27,36,2.95
407,itacoatiara,br,-58.44,-3.14,74.61,98,64,2.06
408,corinto,ni,-87.17,12.48,79.6,61,36,9.22
409,hami,cn,93.51,42.84,17.73,69,76,4.63
410,bubaque,gw,-15.83,11.28,75.6,100,20,13.69
411,itinga,br,-41.77,-16.61,64.93,81,24,3.85
412,adolfo lopez mateos,mx,-109.39,26.8,45.0,74,0,1.61
413,pastavy,by,26.84,55.11,21.24,87,80,9.22
414,utinga,br,-35.4,-5.82,78.8,83,20,2.24
415,santa maria,cv,-22.9,16.6,71.6,60,0,12.75
416,nizhnyaya tavda,ru,66.17,57.67,9.9,76,0,11.23
417,ekhabi,ru,142.97,53.51,13.23,83,32,21.18
418,hagere selam,et,38.52,6.48,65.47,53,0,2.28
419,komsomolskiy,ru,63.78,67.55,8.28,80,68,9.33
420,jasper,ca,-118.08,52.88,31.41,77,92,3.96
421,kashi,cn,75.98,39.45,21.2,57,48,2.24
422,martapura,id,114.85,-3.41,86.0,66,20,3.36
423,hervey bay,au,152.85,-25.3,86.0,48,40,18.34
424,zyryanovsk,kz,84.27,49.74,14.85,71,88,1.28
425,zhigansk,ru,123.37,66.77,-10.58,72,56,8.55
426,manggar,id,108.27,-2.88,84.37,97,20,3.74
427,barra do bugres,br,-57.19,-15.07,76.27,91,8,2.73
428,izmalkovo,ru,37.97,52.69,25.92,94,88,5.19
429,kurud,in,81.72,20.85,66.2,48,0,8.05
430,staroshcherbinovskaya,ru,38.66,46.63,29.88,99,92,16.6
431,san ramon,bo,-64.62,-13.27,76.05,84,20,2.73
432,indiana,us,-79.15,40.62,30.2,92,1,4.7
433,vao,nc,167.48,-22.67,76.41,99,36,22.64
434,jijiga,et,42.8,9.35,63.13,49,0,2.06
435,abyek,ir,50.53,36.04,28.4,92,0,11.41
436,rosario do sul,br,-54.91,-30.26,65.52,85,80,11.12
437,of,tr,40.27,40.94,59.0,67,0,6.93
438,chibombo,zm,28.09,-14.68,72.0,100,20,4.52
439,sidi ali,dz,0.42,36.1,32.08,85,0,2.73
440,bakreswar,in,87.37,23.88,64.4,59,0,4.7
441,mackay,au,149.2,-21.15,86.0,62,40,19.46
442,marsa matruh,eg,27.25,31.35,48.2,70,0,12.75
443,samarai,pg,150.67,-10.62,82.12,100,20,25.1
444,moyale,ke,39.06,3.52,75.37,47,12,12.24
445,tianpeng,cn,112.34,28.88,41.22,100,92,7.65
446,varzea grande,br,-50.86,-29.42,65.61,100,92,2.51
447,algiers,dz,3.04,36.75,45.0,96,36,0.72
448,upernavik,gl,-56.15,72.79,12.1,98,36,5.64
449,puerto del rosario,es,-13.86,28.5,62.6,67,36,9.17
450,roma,au,148.79,-26.57,86.04,49,36,9.78
451,waingapu,id,120.26,-9.65,80.55,89,48,11.45
452,lagos,pt,-8.67,37.1,50.0,93,0,6.93
